"dataset","site","date_year_month","intermittent_perennial","before_after","Psilometriocnemus","Paraleptophlebia","Stictochironomus","Paratanytarsus","Pseudosuccinea","Eukiefferiella","Tipula","Bezzia","Cricotopus","Baetis","Hyalella","Micropsectra","Sphaerium","Gammarus","Simulium","Diplocladius","Caenis","Gyraulus","Tvetnia","Optioservus","Corynoneura","Paraphaenocladius","Chironomus","Pseudosmittia","Cladotanytarsus","Agabus","Ceratopsyche","Ochrotrichia","Paratendipes"
"sodak_rv","11593569","8-Jun","intermittent","before",5,0,5,0,0,0,0,0,14,18,8,0,24,0,0,0,1,1,0,5,0,0,0,0,4,1,0,73,1
"sodak_rv","11593569","8-Aug","intermittent","after",0,3.03030303,3.03030303,0,0,24.24242424,0,0,6.060606061,121.2121212,209.0909091,6.060606061,72.72727273,0,0,0,327.2727273,3.03030303,0,24.24242424,3.03030303,0,3.03030303,0,166.6666667,0,0,0,57.57575758
"sodak_rv","11601469","8-Apr","intermittent","before",11.23595506,0,0,208.988764,2.247191011,0,0,11.23595506,76.40449438,0,123.5955056,0,24.71910112,0,4.494382022,4.494382022,33.70786517,0,0,6.741573034,8.988764045,0,0,8.988764045,0,2.247191011,4.494382022,0,6.741573034
"sodak_rv","11601469","8-Jun","intermittent","after",50.72463768,0,0,1152.173913,0,0,0,253.6231884,7.246376812,43.47826087,239.1304348,57.97101449,36.23188406,0,413.0434783,7.246376812,21.73913043,101.4492754,0,0,14.49275362,0,0,0,0,28.98550725,0,21.73913043,14.49275362
"sodak_rv","11601585","8-Apr","intermittent","before",217.3913043,7.246376812,0,0,14.49275362,14.49275362,101.4492754,7.246376812,231.884058,0,0,0,0,0,0,86.95652174,0,0,449.2753623,0,36.23188406,0,0,7.246376812,36.23188406,21.73913043,0,0,7.246376812
"sodak_rv","11601585","8-Aug","intermittent","after",9,0,0,2,25,0,0,0,0,1,2,9,6,0,0,0,0,74,0,0,0,0,1,0,0,1,0,0,0
"sodak_rv","11758554","8-Apr","perennial","before",6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sodak_rv","11758554","8-Aug","perennial","after",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sodak_rv","4071584","8-Apr","perennial","before",413.6363636,0,0,0,0,218.1818182,27.27272727,186.3636364,0,0,0,50,27.27272727,0,13.63636364,4.545454545,59.09090909,0,0,245.4545455,0,9.090909091,18.18181818,0,0,0,227.2727273,0,0
"sodak_rv","4071584","8-Jun","perennial","after",0,0,2,0,0,0,0,3,1,150,0,1,2,0,0,0,3,0,0,20,0,0,0,0,0,0,6,0,1
"sodak_rv","4071838","8-Apr","perennial","before",0,0,0,0,1,64,3,52,0,0,1,66,3,0,1,0,8,0,0,65,1,93,0,0,1,0,0,0,1
"sodak_rv","4071838","8-Jun","perennial","after",0,0,2,0,0,4,0,17,0,96,1,46,0,0,0,0,6,0,0,73,4,3,0,0,0,0,0,0,22
"sodak_rv","4081872","8-Jun","perennial","before",0,0,171.5481172,0,0,0,0,8.368200837,2.092050209,96.23430962,0,0,0,119.2468619,20.92050209,2.092050209,0,0,0,0,0,0,0,0,0,50.20920502,0,0,2.092050209
