Psilometriocnemus,Paraleptophlebia,Stictochironomus,Paratanytarsus,Pseudosuccinea,Eukiefferiella,Tipula,Bezzia,Cricotopus,Baetis,Hyalella,Micropsectra,Sphaerium,Gammarus,Simulium,Diplocladius,Caenis,Gyraulus,Tvetnia,Optioservus,Corynoneura,Paraphaenocladius,Chironomus,Pseudosmittia,Cladotanytarsus,Agabus,Ceratopsyche,Ochrotrichia,Paratendipes
413.6363636,0,0,0,0,218.1818182,27.27272727,186.3636364,0,0,0,50,27.27272727,0,13.63636364,4.545454545,59.09090909,0,0,245.4545455,0,9.090909091,18.18181818,0,0,0,227.2727273,0,0
0,0,0,0,1,64,3,52,0,0,1,66,3,0,1,0,8,0,0,65,1,93,0,0,1,0,0,0,1
0,0,171.5481172,0,0,0,0,8.368200837,2.092050209,96.23430962,0,0,0,119.2468619,20.92050209,2.092050209,0,0,0,0,0,0,0,0,0,50.20920502,0,0,2.092050209
0,0,0,0,2,4,1,9,184,0,1,0,0,0,7,73,0,0,0,0,0,17,0,0,0,1,0,0,5
0,0,0,0,15,0,176,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0
0,1181.818182,6.060606061,0,0,0,0,12.12121212,48.48484848,0,0,72.72727273,0,0,0,0,0,0,0,0,54.54545455,24.24242424,6.060606061,0,36.36363636,18.18181818,0,0,0
0,42.90429043,0,6.600660066,0,0,0,16.50165017,13.20132013,0,0,13.20132013,9.900990099,0,0,3.300330033,9.900990099,0,0,0,62.70627063,0,0,3.300330033,0,6.600660066,0,0,13.20132013
2163.636364,12.12121212,0,6.060606061,175.7575758,0,0,0,0,0,0,0,0,0,0,42.42424242,0,36.36363636,0,0,0,0,0,0,0,0,0,0,0
2454.545455,0,0,0,90.90909091,90.90909091,90.90909091,0,0,0,0,0,0,0,0,227.2727273,0,227.2727273,0,0,90.90909091,0,318.1818182,45.45454545,0,90.90909091,0,0,45.45454545
5,0,7,0,0,0,1,25,27,0,29,15,86,0,38,33,0,8,0,0,0,0,1,12,0,2,0,0,1
5,0,5,0,0,0,0,0,14,18,8,0,24,0,0,0,1,1,0,5,0,0,0,0,4,1,0,73,1
11.23595506,0,0,208.988764,2.247191011,0,0,11.23595506,76.40449438,0,123.5955056,0,24.71910112,0,4.494382022,4.494382022,33.70786517,0,0,6.741573034,8.988764045,0,0,8.988764045,0,2.247191011,4.494382022,0,6.741573034
217.3913043,7.246376812,0,0,14.49275362,14.49275362,101.4492754,7.246376812,231.884058,0,0,0,0,0,0,86.95652174,0,0,449.2753623,0,36.23188406,0,0,7.246376812,36.23188406,21.73913043,0,0,7.246376812
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
